Updates,num timesteps,FPS,Last num training episodes,success rate
10,880,80,3,0.0
20,1680,79,6,0.0
30,2480,77,9,0.0
40,3280,75,13,0.07692307692307693
50,4080,72,17,0.11764705882352941
60,4880,71,20,0.15
70,5680,70,24,0.16666666666666666
80,6480,69,27,0.14814814814814814
90,7280,68,30,0.13333333333333333
100,8080,68,33,0.12121212121212122
110,8880,67,36,0.1111111111111111
120,9680,67,40,0.1
130,10480,67,43,0.09302325581395349
140,11280,67,46,0.08695652173913043
150,12080,66,52,0.1346153846153846
160,12880,65,58,0.1724137931034483
170,13680,65,64,0.203125
180,14480,65,68,0.20588235294117646
190,15280,65,74,0.22972972972972974
200,16080,64,77,0.22077922077922077
210,16880,64,81,0.2222222222222222
220,17680,64,85,0.2235294117647059
230,18480,63,88,0.2159090909090909
240,19280,63,93,0.22580645161290322
250,20080,62,96,0.21875
260,20880,63,100,0.23
270,21680,63,100,0.23
280,22480,62,100,0.25
290,23280,62,100,0.25
300,24080,62,100,0.25
310,24880,62,100,0.26
320,25680,62,100,0.26
330,26480,61,100,0.27
340,27280,61,100,0.28
350,28080,60,100,0.29
360,28880,60,100,0.3
370,29680,60,100,0.31
380,30480,60,100,0.31
390,31280,59,100,0.3
400,32080,59,100,0.29
410,32880,59,100,0.28
420,33680,59,100,0.27
430,34480,59,100,0.27
440,35280,59,100,0.25
450,36080,59,100,0.23
460,36880,59,100,0.26
470,37680,59,100,0.26
480,38480,59,100,0.25
490,39280,59,100,0.25
500,40080,59,100,0.25
510,40880,59,100,0.24
520,41680,59,100,0.26
530,42480,59,100,0.26
540,43280,59,100,0.25
550,44080,59,100,0.26
560,44880,59,100,0.25
570,45680,59,100,0.24
580,46480,59,100,0.24
590,47280,59,100,0.24
600,48080,59,100,0.24
610,48880,59,100,0.23
620,49680,59,100,0.21
630,50480,59,100,0.21
640,51280,59,100,0.22
650,52080,58,100,0.21
660,52880,58,100,0.21
670,53680,58,100,0.21
680,54480,58,100,0.21
690,55280,58,100,0.21
700,56080,58,100,0.2
710,56880,58,100,0.19
720,57680,58,100,0.19
730,58480,58,100,0.18
740,59280,58,100,0.17
750,60080,58,100,0.19
760,60880,58,100,0.21
770,61680,58,100,0.21
780,62480,58,100,0.2
790,63280,58,100,0.19
800,64080,59,100,0.21
810,64880,59,100,0.2
820,65680,59,100,0.23
830,66480,59,100,0.23
840,67280,59,100,0.22
850,68080,21,100,0.23
860,68880,21,100,0.24
870,69680,21,100,0.25
880,70480,22,100,0.26
890,71280,22,100,0.27
900,72080,22,100,0.28
910,72880,22,100,0.29
920,73680,22,100,0.29
930,74480,22,100,0.31
940,75280,23,100,0.32
950,76080,23,100,0.33
960,76880,23,100,0.36
970,77680,23,100,0.36
980,78480,23,100,0.35
990,79280,23,100,0.34
1000,80080,24,100,0.31
1010,80880,24,100,0.32
1020,81680,24,100,0.31
1030,82480,24,100,0.31
1040,83280,24,100,0.3
1050,84080,24,100,0.29
1060,84880,25,100,0.27
1070,85680,25,100,0.27
1080,86480,25,100,0.25
1090,87280,25,100,0.23
1100,88080,25,100,0.22
1110,88880,25,100,0.22
1120,89680,25,100,0.2
1130,90480,26,100,0.19
1140,91280,26,100,0.18
1150,92080,26,100,0.19
1160,92880,26,100,0.18
1170,93680,26,100,0.18
1180,94480,26,100,0.16
1190,95280,26,100,0.15
1200,96080,26,100,0.14
1210,96880,27,100,0.15
1220,97680,27,100,0.13
1230,98480,27,100,0.12
1240,99280,27,100,0.11
1250,100080,27,100,0.13
1260,100880,27,100,0.11
1270,101680,27,100,0.11
1280,102480,27,100,0.11
1290,103280,27,100,0.12
1300,104080,28,100,0.13
1310,104880,28,100,0.14
1320,105680,28,100,0.14
1330,106480,28,100,0.14
1340,107280,28,100,0.14
1350,108080,28,100,0.16
1360,108880,28,100,0.17
1370,109680,28,100,0.17
1380,110480,28,100,0.18
1390,111280,29,100,0.18
1400,112080,29,100,0.19
1410,112880,29,100,0.19
1420,113680,29,100,0.19
1430,114480,29,100,0.17
1440,115280,29,100,0.17
1450,116080,29,100,0.18
1460,116880,29,100,0.19
1470,117680,29,100,0.19
1480,118480,29,100,0.2
1490,119280,29,100,0.2
1500,120080,30,100,0.21
1510,120880,30,100,0.21
1520,121680,30,100,0.21
1530,122480,30,100,0.19
1540,123280,30,100,0.2
1550,124080,30,100,0.21
1560,124880,30,100,0.19
1570,125680,30,100,0.2
1580,126480,30,100,0.18
1590,127280,30,100,0.17
1600,128080,30,100,0.17
1610,128880,30,100,0.19
1620,129680,31,100,0.21
1630,130480,31,100,0.2
1640,131280,31,100,0.21
1650,132080,31,100,0.22
1660,132880,31,100,0.21
