Updates,num timesteps,FPS,Last num training episodes,success rate
10,9680,24,39,0.20512820512820512
20,18480,24,83,0.26506024096385544
30,27280,25,100,0.28
40,36080,24,100,0.3
50,44880,23,100,0.33
60,53680,23,100,0.39
70,62480,23,100,0.45
80,71280,23,100,0.51
90,80080,22,100,0.47
100,88880,23,100,0.62
110,97680,23,100,0.74
120,106480,23,100,0.74
130,115280,23,100,0.7
140,124080,23,100,0.64
150,132880,23,100,0.66
160,141680,22,100,0.75
170,150480,22,100,0.61
180,159280,22,100,0.65
190,168080,22,100,0.76
200,176880,22,100,0.85
210,185680,19,100,0.74
220,194480,14,100,0.76
230,203280,14,100,0.78
240,212080,14,100,0.77
250,220880,14,100,0.77
260,229680,15,100,0.77
270,238480,15,100,0.78
280,247280,15,100,0.83
290,256080,15,100,0.81
300,264880,15,100,0.82
310,273680,14,100,0.83
320,282480,14,100,0.84
330,291280,15,100,0.87
340,300080,15,100,0.82
350,308880,15,100,0.82
360,317680,15,100,0.81
370,326480,15,100,0.84
380,335280,15,100,0.82
390,344080,15,100,0.82
400,352880,15,100,0.82
410,361680,15,100,0.85
420,370480,15,100,0.82
430,379280,15,100,0.83
440,388080,16,100,0.74
450,396880,16,100,0.86
460,405680,16,100,0.79
470,414480,16,100,0.84
480,423280,16,100,0.86
490,432080,16,100,0.79
500,440880,16,100,0.78
510,449680,16,100,0.81
520,458480,16,100,0.8
530,467280,16,100,0.84
540,476080,16,100,0.82
550,484880,16,100,0.78
560,493680,16,100,0.81
570,502480,16,100,0.84
580,511280,16,100,0.86
590,520080,16,100,0.81
600,528880,16,100,0.78
610,537680,16,100,0.83
620,546480,16,100,0.88
630,555280,16,100,0.84
640,564080,17,100,0.87
650,572880,17,100,0.78
660,581680,17,100,0.89
670,590480,17,100,0.76
680,599280,17,100,0.79
690,608080,17,100,0.79
700,616880,17,100,0.84
710,625680,17,100,0.83
720,634480,17,100,0.87
730,643280,17,100,0.86
740,652080,18,100,0.83
750,660880,18,100,0.85
760,669680,18,100,0.89
770,678480,18,100,0.91
780,687280,18,100,0.8
790,696080,18,100,0.79
800,704880,18,100,0.9
810,713680,18,100,0.86
820,722480,18,100,0.89
830,731280,18,100,0.85
840,740080,18,100,0.82
850,748880,18,100,0.82
860,757680,19,100,0.83
870,766480,19,100,0.82
880,775280,19,100,0.9
890,784080,19,100,0.87
900,792880,19,100,0.83
910,801680,19,100,0.86
920,810480,19,100,0.84
930,819280,19,100,0.88
940,828080,19,100,0.83
950,836880,19,100,0.84
960,845680,19,100,0.82
970,854480,19,100,0.79
980,863280,19,100,0.79
990,872080,19,100,0.83
1000,880880,19,100,0.87
1010,889680,20,100,0.87
1020,898480,20,100,0.87
1030,907280,20,100,0.83
1040,916080,20,100,0.84
1050,924880,20,100,0.84
1060,933680,20,100,0.89
1070,942480,20,100,0.88
1080,951280,20,100,0.85
1090,960080,20,100,0.83
1100,968880,20,100,0.87
1110,977680,20,100,0.84
1120,986480,20,100,0.87
1130,995280,20,100,0.81
1140,1004080,20,100,0.88
1150,1012880,20,100,0.81
1160,1021680,20,100,0.87
1170,1030480,20,100,0.91
1180,1039280,20,100,0.78
1190,1048080,20,100,0.86
1200,1056880,21,100,0.86
1210,1065680,21,100,0.85
1220,1074480,21,100,0.86
1230,1083280,21,100,0.87
1240,1092080,21,100,0.87
1250,1100880,21,100,0.88
1260,1109680,21,100,0.82
1270,1118480,21,100,0.88
1280,1127280,21,100,0.82
1290,1136080,21,100,0.87
1300,1144880,21,100,0.87
1310,1153680,21,100,0.85
1320,1162480,21,100,0.89
1330,1171280,21,100,0.88
1340,1180080,21,100,0.86
1350,1188880,21,100,0.83
1360,1197680,21,100,0.83
1370,1206480,21,100,0.89
1380,1215280,21,100,0.85
1390,1224080,21,100,0.84
1400,1232880,21,100,0.89
1410,1241680,21,100,0.8
1420,1250480,21,100,0.84
1430,1259280,21,100,0.85
1440,1268080,21,100,0.86
1450,1276880,21,100,0.87
1460,1285680,22,100,0.77
1470,1294480,22,100,0.9
1480,1303280,22,100,0.86
1490,1312080,22,100,0.87
1500,1320880,22,100,0.9
1510,1329680,22,100,0.85
1520,1338480,22,100,0.8
1530,1347280,22,100,0.82
1540,1356080,22,100,0.85
1550,1364880,22,100,0.76
1560,1373680,22,100,0.88
1570,1382480,22,100,0.87
1580,1391280,22,100,0.83
1590,1400080,22,100,0.84
1600,1408880,22,100,0.86
1610,1417680,22,100,0.85
