Updates,num timesteps,FPS,Last num training episodes,success rate
0,880,10,3,1.0
10,9680,7,47,0.3829787234042553
20,18480,9,86,0.313953488372093
30,27280,8,100,0.24
40,36080,9,100,0.25
50,44880,9,100,0.22
60,53680,9,100,0.28
70,62480,9,100,0.39
80,71280,8,100,0.44
90,80080,8,100,0.52
100,88880,8,100,0.6
110,97680,8,100,0.57
120,106480,8,100,0.47
130,115280,8,100,0.42
140,124080,8,100,0.46
150,132880,8,100,0.62
160,141680,8,100,0.58
170,150480,8,100,0.56
180,159280,7,100,0.58
190,168080,7,100,0.52
200,176880,7,100,0.56
210,185680,7,100,0.54
220,194480,7,100,0.53
230,203280,7,100,0.55
240,212080,7,100,0.57
250,220880,7,100,0.51
260,229680,7,100,0.48
270,238480,7,100,0.56
280,247280,8,100,0.52
290,256080,8,100,0.56
300,264880,8,100,0.71
310,273680,8,100,0.67
320,282480,8,100,0.65
330,291280,8,100,0.67
340,300080,8,100,0.63
350,308880,8,100,0.54
360,317680,8,100,0.54
370,326480,8,100,0.59
380,335280,8,100,0.6
390,344080,8,100,0.64
400,352880,8,100,0.64
410,361680,8,100,0.74
420,370480,8,100,0.69
430,379280,8,100,0.69
440,388080,8,100,0.83
450,396880,8,100,0.73
460,405680,8,100,0.75
470,414480,8,100,0.8
480,423280,8,100,0.79
490,432080,8,100,0.81
500,440880,8,100,0.82
510,449680,8,100,0.8
520,458480,8,100,0.85
530,467280,8,100,0.77
540,476080,8,100,0.76
550,484880,8,100,0.84
560,493680,8,100,0.75
570,502480,8,100,0.84
580,511280,9,100,0.77
590,520080,9,100,0.79
600,528880,9,100,0.87
610,537680,9,100,0.79
620,546480,9,100,0.83
630,555280,9,100,0.79
640,564080,9,100,0.77
650,572880,9,100,0.82
660,581680,9,100,0.76
670,590480,9,100,0.87
680,599280,9,100,0.84
690,608080,9,100,0.84
700,616880,9,100,0.84
710,625680,9,100,0.85
720,634480,9,100,0.74
730,643280,9,100,0.74
740,652080,9,100,0.82
750,660880,9,100,0.82
760,669680,9,100,0.89
770,678480,9,100,0.87
780,687280,9,100,0.85
790,696080,9,100,0.77
800,704880,9,100,0.85
810,713680,9,100,0.87
820,722480,9,100,0.74
830,731280,9,100,0.85
840,740080,9,100,0.77
850,748880,9,100,0.85
